GHGRP ID,Landfill ID,Landfill Name,State,Physical Address,City,County,Zip Code,Latitude,Longitude,Ownership Type,Landfill Owner Organization(s),Year Landfill Opened,Landfill Closure Year,Current Landfill Status,Waste in Place (tons),Waste in Place Year,LFG Collection System In Place?,LFG Collected (mmscfd),LFG Flared (mmscfd),Project ID,Current Project Status,Project Name,Project Start Date,Project Shutdown Date,Project Type Category,LFG Energy Project Type,RNG Delivery Method,Actual MW Generation,Rated MW Capacity,LFG Flow to Project (mmscfd),Current Year Emission Reductions (MMTCO2e/yr) - Direct,Current Year Emission Reductions (MMTCO2e/yr) - Avoided
,34,Florence SLF MSWLF (Old),AL,Irvine Avenue,Florence,Lauderdale,35630,34.803,-87.7058,Private,Hensley-Graves Holdings LLC,1972,1988,Closed,"1,461,912",,Yes,,,89-0,Shutdown,Project #1,,12/31/1999,Direct,Direct Thermal,,,,,,
1005839,11,Huntsville MSWLF,AL,4100 Leeman Ferry Road SW,Huntsville,Madison,35804,34.6885,-86.592,Public,City of Huntsville S.W. Disposal Authority,1946,2060,Open,"13,263,709",2022,Shutdown,,,201486-0,Candidate,,,,Unknown,Unknown,,,,,,
1005839,11,Huntsville MSWLF,AL,4100 Leeman Ferry Road SW,Huntsville,Madison,35804,34.6885,-86.592,Public,City of Huntsville S.W. Disposal Authority,1946,2060,Open,"13,263,709",2022,Shutdown,,,66-0,Shutdown,Project #1,7/17/1990,3/1/2001,Direct,Boiler,,,,2.3,,
,10,Irvington SLF,AL,7195 Half Mile Road,Irvington,Mobile,36544,30.490688,-88.210629,Public,Mobile County Commission,1974,1981,Closed,"967,998",,Yes,,,65-0,Shutdown,Project #1,,,Unknown,Unknown,,,,,,
1004014,25,Jefferson County LF No. 1,AL,101 Barber Boulevard,Gardendale,Jefferson,35071,33.711,-86.873,Public,"Jefferson County, AL",1982,2048,Open,"6,273,864",2022,No,,,80-0,Candidate,,,,Unknown,Unknown,,,,,,
1005680,13,Jefferson County LF No. 2,AL,7035 Narrows Road,Pinson,Jefferson,35126,33.7077,-86.7104,Public,"Jefferson County, AL",1982,2036,Open,"1,665,315",2022,No,,,68-0,Candidate,,,,Unknown,Unknown,,,,,,
1007875,20,Magnolia Subtitle D MSW LF,AL,15093 Landfill Drive,Summerdale,Baldwin,36580,30.446232,-87.7761,Public,"Baldwin County, AL",1997,2036,Open,"4,796,158",2022,Yes,0.764,0.764,75-0,Construction,Project #1,9/30/2024,,Renewable Natural Gas,Other,Pipeline Injection,,,,,
,31,Monroe County SLF,AL,,Monroeville,Monroe,,31.59573,-87.33187,Public,"Monroe County Commission, AL",1982,1998,Closed,"1,205,385",1998,No,,,86-0,Low Potential,,,,Unknown,Unknown,,,,,,
1002464,2011,Morris Farm Landfill,AL,4 County Road 418,Hillsboro,Lawrence,35643,34.70381,-87.22116,Private,"Republic Services, Inc.",1997,2064,Open,"7,136,806",2022,Yes,1.203,1.203,167096-0,Candidate,,,,Unknown,Unknown,,,,,,
1006028,14,New Georgia MSWLF,AL,2800 47th Avenue North,Birmingham,Jefferson,35207,33.585,-86.815,Public,"City of Birmingham, AL",1970,2030,Open,"7,784,828",2022,Shutdown,1.3,1.3,69-0,Shutdown,Project #1,6/1/1998,12/31/2007,Direct,Boiler,,,,0.97,,
